Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Project: Primary PI: Full Name,Project: Other Principal Investigators,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date
"Fonds Commun Genre for Endline CM, VaC and FGM",Diakonia,Grant Proposal,Child Marriage Violence Against Children and FGM,Lucia Corno,PI: Selim Gulesci,10/10/2019,0,1,Francophone West Africa,0,,10/11/2019
"SVRI funding endline CM, VaC & FGM",Sexual Violence Research Initiative,Grant Proposal,Child Marriage Violence Against Children and FGM,Lucia Corno,PI: Selim Gulesci,9/13/2019,0,1,Francophone West Africa,0,,9/13/2019
UCSCuore-20-10001 UCSC funding child marriage UNICEF,Università Cattolica del Sacro Cuore,Grant Award,Child Marriage Violence Against Children and FGM,Lucia Corno,PI: Selim Gulesci,1/22/2020,1,1,Francophone West Africa,0,Allocation,1/23/2020
Research Technical Assistance Center (RTAC),Mathematica Policy Research,Grant Proposal,RTAC Project,,,3/9/2018,0,1,,0,,3/8/2018
Monitoring and Evaluation Technical Support Services and Training (METST),Mathematica Policy Research,Grant Proposal,METST,,,6/15/2018,0,1,,0,,6/15/2018
New Proposal for Gender norms change and gender based violence,ODI (formerly Overseas Development Institute),Grant Proposal,Gender norms change and gender based violence,,,6/28/2018,0,1,Peru,0,,6/28/2018
Stanford University Proposal for Pitfalls and Promises of Transparency and Accountability in the Health Sector,Stanford University,Grant Proposal,Pitfalls and Promises of Transparency and Accountability in the Health Sector,Marie Christine Apedo-Amah,PI: Pascaline Dupas,8/28/2018,0,1,Francophone West Africa,0,,8/13/2018
Knowledge Challenge,Ewing Marion Kauffman Foundation,Grant Proposal,Kauffman Knowledge Challenge Project,,,7/2/2018,0,1,,0,,5/9/2018
Stanford Professor Funds,Stanford University,Grant Proposal,Palm Oil Scoping,Casey Maue,,3/14/2018,0,1,Ghana,0,,3/14/2018
UMI-18-10001: Financial planning Obeid Rehman (Philippines),University of Michigan,Grant Award,Intra household communication,Obeid Ur Rehman,,6/22/2018,1,1,Philippines,0,,10/17/2018
Coffee value chain,International Growth Centre (IGC),Grant Proposal,Coffee value chain,,PI: Lauren Falcao Bergquist,7/12/2018,0,1,Uganda,0,,7/12/2018
Proposal for P2 Kinyarwanda Instructioal Time Study (Rwanda),Room to Read,Grant Proposal,P2 Kinyarwanda Instructioal Time Study,,,7/12/2018,0,1,Rwanda,0,,7/12/2018
TUF-19-10001 Role of environmental surveillance in monitoring the impact of soil-transmitted helminth control programs,Tufts University,Grant Award,The role of environmental surveillance in monitoring the impact of soil-transmit,Amy Pickering,,7/17/2018,1,1,Kenya,0,,1/9/2019
New Proposal for At-Risk Youth in Conflict-Affected Areas Project,Massachusetts Institute of Technology (MIT),Grant Proposal,At-Risk Youth in Conflict-Affected Areas Project,,,3/22/2019,0,1,Philippines,0,,3/22/2019
At-Risk Youth in Conflict-Affected Areas Project,Dubai Cares,Grant Proposal,At-Risk Youth in Conflict-Affected Areas Project,,,8/3/2018,0,1,Philippines,0,,8/3/2018
PEDL Major Research Grant - Loans Uganda,Private Enterprise Development for Low-Income Countries (PEDL),Grant Proposal,Information and business growth,,,8/31/2018,0,1,Uganda,0,,8/31/2018
R01 with UPenn,University of Pennsylvania,Grant Proposal,Prize-linked Savings,Ellen Moscoe,"PI: Kawango Agot , Harsha Thirumurthy",7/31/2019,0,1,Kenya,0,,7/31/2019
PEN0004 AKIBA Prize-linked Savings Project Pilot (Kenya),University of Pennsylvania,Grant Award,Prize-linked Savings,Ellen Moscoe,"PI: Kawango Agot , Harsha Thirumurthy",6/15/2018,1,1,Kenya,0,,10/10/2018
MSU0003 Marketplace for Nutritious Foods Program Evaluation (Kenya),Michigan State University,Grant Award,GAIN - Marketplace for Nutritious Foods Program Evaluation,Eduardo Nakasone,"PI: Maria Porter , David Tschirley , Vincenzina Caputo , David Ortega , Andrew D. Jones , Mywish Maredia",4/19/2018,1,1,Kenya,0,Allocation,1/7/2019
CDCG-18-10000: Employee Welfare Survey for Garment Operators at Ananta Textiles (Bangladesh),CDC Group,Grant Award,Employee Welfare Survey for garment operators at Ananta Textiles.,Christopher Woodruff,,7/1/2018,1,1,Bangladesh,0,,7/28/2018
Lyle Spencer Proposal for Learning Crisis,Spencer Foundation,Grant Proposal,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,7/17/2019,0,1,Francophone West Africa,0,,7/17/2019
IFPRI IPV for SEME - Learning Crisis,International Food Policy Research Institute (IFPRI),Grant Proposal,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,7/6/2021,0,1,Francophone West Africa,0,,7/9/2021
UTN-21-10001: Parents' Beliefs for SEME - Learning Crisis (Cote d'Ivoire),University of Toronto,Grant Award,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,9/1/2021,1,1,Francophone West Africa,0,Allocation,5/13/2022
UBS-19-10001:Promoting Learning and Reducing Child Labor in Côte d?Ivoire?s Through Family- & School-based interventions,UBS Optimus Foundation,Grant Award,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,8/5/2019,1,1,Francophone West Africa,0,External Subaward,3/31/2020
UBS-19-10001:Promoting Learning and Reducing Child Labor in Côte d?Ivoire?s Through Family- & School-based interventions,UBS Optimus Foundation,Grant Award,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,8/5/2019,1,1,Francophone West Africa,0,External Subaward,3/31/2020
UBS-19-10001:Promoting Learning and Reducing Child Labor in Côte d?Ivoire?s Through Family- & School-based interventions,UBS Optimus Foundation,Grant Award,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,8/5/2019,1,1,Francophone West Africa,0,External Subaward,3/31/2020
UBS-19-10001:Promoting Learning and Reducing Child Labor in Côte d?Ivoire?s Through Family- & School-based interventions,UBS Optimus Foundation,Grant Award,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,8/5/2019,1,1,Francophone West Africa,0,External Subaward,3/31/2020
FID SEME,Fund for Innovation in Development (FID),Grant Proposal,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,1/14/2022,0,1,Francophone West Africa,0,,1/14/2022
Adding funds for midline phone surveys - University of Pennsylvania,University of Pennsylvania,Grant Proposal,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,10/1/2021,0,1,Francophone West Africa,0,,10/1/2021
UBS-19-10001:Promoting Learning and Reducing Child Labor in Côte d?Ivoire?s Through Family- & School-based interventions,UBS Optimus Foundation,Grant Award,SEME - Learning Crisis,Kaja Jasinska,PI: Sharon Wolf,8/5/2019,1,1,Francophone West Africa,0,Allocation,3/31/2020
MSU-19-10001: NSF Prime for Community risk sharing project (Bangladesh),Michigan State University,Grant Award,Community risk-sharing and private investment in preventive health,Prabhat Barnwal,PI: Lex van Geen,8/21/2019,1,1,Bangladesh,0,Allocation,8/21/2019
New Proposal for Community risk-sharing and private investment in preventive health,International Growth Centre (IGC),Grant Proposal,Community risk-sharing and private investment in preventive health,Prabhat Barnwal,PI: Lex van Geen,7/30/2018,0,1,Bangladesh,0,,7/30/2018
UNDP Community risk-sharing and private investment in preventive health,United Nations Development Program (UNDP),Grant Proposal,Community risk-sharing and private investment in preventive health,Prabhat Barnwal,PI: Lex van Geen,4/28/2020,0,1,Bangladesh,0,,4/28/2020
DFID Bangladesh Research for Effective COVID-19 Responses (RECOVR),United Kingdom Department for International Development (DFID),Grant Proposal,Community risk-sharing and private investment in preventive health,Prabhat Barnwal,PI: Lex van Geen,4/2/2020,0,1,Bangladesh,0,,4/2/2020
UNDP Mindanao Normalization Project,United Nations Development Program (UNDP),Grant Proposal,UNDP Mindanao Normalization Project,,,7/13/2018,0,1,Philippines,0,,7/13/2018
Cardno-18-10002: L&D System Trial Baseline Study (Philippines),Cardno Emerging Markets,Grant Award,BEST Activities Evaluation,Emily Beam,,10/26/2018,1,1,Philippines,0,,2/28/2019
ACIAR Proposal for Inclusive Agricultural Value Chain Financing,Australian Centre for International Agricultural Research,Grant Proposal,Inclusive Agricultural Value Chain Financing,Russell Toth,PI: Alan de Brauw,8/4/2018,0,1,Myanmar,0,,8/4/2018
IFP-20-10003: AVCF Project Phase 1 (Myanmar),International Food Policy Research Institute (IFPRI),Grant Award,Inclusive Agricultural Value Chain Financing,Russell Toth,PI: Alan de Brauw,2/28/2020,1,1,Myanmar,0,Allocation,5/28/2020
New Proposal for Inclusive Growth and Accountability in the Extractives Sector,International Growth Centre (IGC),Grant Proposal,Inclusive Growth and Accountability in the Extractives Sector,Renard Sexton,,7/15/2018,0,1,Myanmar,0,,8/4/2018
Pluspetrol,Pluspetrol,Grant Award,SMS Summer Loss Peru,Andrew Dustan,PI: Stanislao Maldonado,8/3/2018,1,1,Peru,0,,8/3/2018
CMIS Proposal to The Access to Health Fund with PSI,Population Services International,Grant Proposal,CMIS Impact Evaluation in Myanmar,Russell Toth,,8/13/2018,0,1,Myanmar,0,,8/13/2018
Proposal for NEDA-UNDP Strategic M&E Project,United Nations Development Program (UNDP),Grant Proposal,NEDA-UNDP Strategic M&E Project,,,8/31/2018,0,1,Philippines,0,,8/13/2018
World Bank proposal for SME survey,World Bank,Grant Proposal,Survey of Micro-enterprises and Informal Businesses,,,2/25/2019,0,1,Zambia,0,,2/20/2019
SESAME-19-10003 Focus Group Discussions with Rohingya Caregivers (Bangladesh),Sesame Workshop,Grant Award,Sesame Workshop Project Activities,,,10/28/2019,1,1,Bangladesh,0,,12/22/2019
Sesame-19-10002: Focus Group Discussions to inform educational framework and content development (Bangladesh),Sesame Workshop,Grant Award,Sesame Workshop Project Activities,,,7/26/2019,1,1,Bangladesh,0,,7/26/2019
Sesame-19-10001: Sesame Workshop Activities (Bangladesh),Sesame Workshop,Grant Award,Sesame Workshop Project Activities,,,2/22/2019,1,1,Bangladesh,0,,6/4/2019
Orange Pico-Credit proposal to PSE,Paris School of Economics,Grant Proposal,Orange Pico-Credit,,PI: Victor Pouliquen,3/1/2019,0,1,Francophone West Africa,0,,3/1/2019
SPaR,World Bank,Grant Proposal,SPaR,,,2/28/2019,0,1,Rwanda,0,,2/27/2019
JPAL IGI Proposal for ICBF Innovation Unit,Massachusetts Institute of Technology (MIT),Grant Proposal,ICBF Innovation Unit,Raquel Bernal,"PI: Andres Moya , Jorge Cuartas , Orazio Attanasio , Dana McCoy",9/20/2019,0,1,Colombia,0,,9/20/2019
Proposal for ICBF Innovation Unit,Instituto Colombiano de Bienestar Familiar,Grant Proposal,ICBF Innovation Unit,Raquel Bernal,"PI: Andres Moya , Jorge Cuartas , Orazio Attanasio , Dana McCoy",7/30/2019,0,1,Colombia,0,,7/30/2019
PGN-19-10001: Procuraduría General de la Nación Innovation Unit (Colombia),Procuraduría General de la Nación,Grant Award,Procuraduría General de la Nación Innovation Unit,,,9/16/2019,1,1,Colombia,0,,10/21/2019
ORA proposal for Procuraduría General de la Nación Innovation Unit,Open Road Alliance,Grant Proposal,Procuraduría General de la Nación Innovation Unit,,,3/3/2020,0,1,Colombia,0,,3/3/2020
PGN-20-10002: PGN Innovation Unit Phase 2 (Colombia),Procuraduría General de la Nación,Grant Award,Procuraduría General de la Nación Innovation Unit,,,1/27/2020,1,1,Colombia,0,,4/15/2020
Impact of incentives on antimalarials and diagnostics,"University of California, Berkeley",Grant Proposal,Impact of incentives on antimalarials and diagnostics,Paul Gertler,,3/6/2019,0,1,Kenya,0,,3/15/2019
MIT-19-20018 Technology and Citizen Engagement in Local Tax Collection: Evidence from Ghana,Massachusetts Institute of Technology (MIT),Grant Award,Citizen Engagement and Local Tax Collection (CETC),David Lagakos,"PI: Anders Jensen , Karthik Muralidharan",3/22/2019,1,1,Ghana,0,,8/2/2019
Citizen Engagement in Tax Collection,International Growth Centre (IGC),Grant Proposal,Citizen Engagement and Local Tax Collection (CETC),David Lagakos,"PI: Anders Jensen , Karthik Muralidharan",2/12/2020,0,1,Ghana,0,,2/12/2020
DigiFI Community Engagement in Tax Collection (CETC),Massachusetts Institute of Technology (MIT),Grant Proposal,Citizen Engagement and Local Tax Collection (CETC),David Lagakos,"PI: Anders Jensen , Karthik Muralidharan",4/17/2020,0,1,Ghana,0,,4/17/2020
CVI: Effects of soft skills on IPV through better choices,Massachusetts Institute of Technology (MIT),Grant Proposal,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,3/14/2018,0,1,Uganda,0,,3/16/2018
IDR-20-10002 - IDRC Boosting Decent Jobs for Africa's Youth (Uganda),International Development Research Centre (IDRC),Grant Award,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,1/10/2019,1,1,Uganda,0,Allocation,5/11/2020
MIT-19-20024: PPE Highschool Youth Entrepreneurship and Leadership Training (Uganda),Massachusetts Institute of Technology (MIT),Grant Award,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,12/8/2018,1,1,Uganda,0,Allocation,9/24/2019
WEL3233 - IPV Initiative Phase 2 ? Expanding the Evidence Base and Advancing Pilots Along the Path to Scale.,Wellspring Philanthropic Fund,Grant Award,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,2/13/2018,1,1,Uganda,0,Internal Subaward,6/18/2018
Educate!/SEED IGC COVID-19 Funding,International Growth Centre (IGC),Grant Proposal,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,5/6/2020,0,1,Uganda,0,,5/4/2020
JPAL JOI Regular Cycle Funding for Educate/SEED Follow up,Massachusetts Institute of Technology (MIT),Grant Proposal,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,5/8/2020,0,1,Uganda,0,,5/8/2020
COVID J-PAL PPE Funding for Educate!,Massachusetts Institute of Technology (MIT),Grant Proposal,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,4/13/2020,0,1,Uganda,0,,4/13/2020
Educate!/SEED RWJF Couples Survey,Robert Wood Johnson Foundation,Grant Proposal,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,8/26/2020,0,1,Uganda,0,,8/26/2020
GEA COVID Funding for Educate!/SEED,Massachusetts Institute of Technology (MIT),Grant Proposal,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,8/3/2020,0,1,Uganda,0,,8/3/2020
WEL-20-10010 Coordinating Research on Soft Skills Measurement,Wellspring Philanthropic Fund,Grant Award,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,6/26/2020,1,1,Uganda,0,External Subaward,6/26/2020
BMG-20-10003 COVID-19 Research for Effective COVID Response (RECOVR) Gender Initiative,Gates Foundation,Grant Award,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,5/29/2020,1,1,Uganda,0,Allocation,8/26/2020
MIT-19-20024: PPE Highschool Youth Entrepreneurship and Leadership Training (Uganda),Massachusetts Institute of Technology (MIT),Grant Award,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,12/8/2018,1,1,Uganda,0,External Subaward,9/24/2019
WEL-20-10010 Coordinating Research on Soft Skills Measurement,Wellspring Philanthropic Fund,Grant Award,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,6/26/2020,1,1,Uganda,0,Allocation,6/26/2020
BMG-20-10003 COVID-19 Research for Effective COVID Response (RECOVR) Gender Initiative,Gates Foundation,Grant Award,Educate! Follow-Up study,Laura Chioda,PI: Paul Gertler,5/29/2020,1,1,Uganda,0,Internal Subaward,8/26/2020
Putting Data to Work: Machine Learning and Analytics Unit,Tinker Foundation,Grant Proposal,Machine learning with MINEDU,,,3/15/2019,0,1,Peru,0,,3/15/2019
PEDL - Exploratory Research Grant,Private Enterprise Development for Low-Income Countries (PEDL),Grant Proposal,Making Missing Markets Materialize,Jonathan Robinson,,3/31/2020,0,1,Sierra Leone,0,,3/31/2020
ATAI 2019 Missing Markets,Massachusetts Institute of Technology (MIT),Grant Proposal,Making Missing Markets Materialize,Jonathan Robinson,,3/26/2019,0,1,Sierra Leone,0,,3/26/2019
ATAI - 2020,Agricultural Technology Adoption Initiative (ATAI),Grant Proposal,Making Missing Markets Materialize,Jonathan Robinson,,3/23/2020,0,1,Sierra Leone,0,,3/23/2020
"MIT-19-20028: CVI RCT project, Liberia",Massachusetts Institute of Technology (MIT),Grant Award,IPV Red Cross,David Sungho Park,,5/23/2019,1,1,Sierra Leone,0,Allocation,11/25/2019
WEL3233 - IPV Initiative Phase 2 ? Expanding the Evidence Base and Advancing Pilots Along the Path to Scale.,Wellspring Philanthropic Fund,Grant Award,IPV Red Cross,David Sungho Park,,2/13/2018,1,1,Sierra Leone,0,Internal Subaward,6/18/2018
NBER for IPV Red Cross,National Bureau of Economic Research (NBER),Grant Proposal,IPV Red Cross,David Sungho Park,,5/11/2020,0,1,Sierra Leone,0,,5/8/2020
KDI-23-10001: KDI for IPV Red Cross (Liberia),KDI School of Public Policy and Management,Grant Award,IPV Red Cross,David Sungho Park,,10/13/2023,1,1,Sierra Leone,0,Allocation,10/31/2023
ESR-19-10001: Preparing women for leadership positions in garment factories (Bangladesh),Economic and Social Research Council (ESRC),Grant Award,ECI Early Career Intervention,Christopher Woodruff,,7/8/2019,1,1,Bangladesh,0,,10/30/2019
First Steps Proposal,Save the Children International (SCI),Grant Proposal,First Steps,Todd Pugatch,,3/21/2019,0,1,Rwanda,0,,3/21/2019
New Proposal for UNDP ECCD Formative Evaluation,United Nations Development Program (UNDP),Grant Proposal,UNDP ECCD Formative Evaluation,,,3/1/2019,0,1,Philippines,0,,3/1/2019
Save The Children exploratory study on Child Marriage and Education,Save the Children International (SCI),Grant Proposal,Child Marriage and Girls' Education,,,4/1/2019,0,1,Francophone West Africa,0,,4/1/2019
Evaluating Uganda Revenue Authority's tax education,Massachusetts Institute of Technology (MIT),Grant Proposal,URA tax education project,Frederico Finan,PI: Isabelle Cohen,3/22/2019,0,1,Uganda,0,,3/22/2019
IGC-19-20008 - URA -Tax Education Study (Uganda),International Growth Centre (IGC),Grant Award,URA tax education project,Frederico Finan,PI: Isabelle Cohen,1/2/2019,1,1,Uganda,0,,12/24/2019
MIT-19-20030 - Kumwe Harvest ATAI (Rwanda),Massachusetts Institute of Technology (MIT),Grant Award,Farmer Coop Value Chain Strengthening Project,Susan Godlonton,"PI: Jonathan Robinson , Shilpa Aggarwal , Alan Spearot",10/3/2019,1,1,Rwanda,0,Allocation,11/17/2020
MIT-19-20013- ATAI Spring 2019 Output Price On Input Usage (Rwanda),Massachusetts Institute of Technology (MIT),Grant Award,Farmer Coop Value Chain Strengthening Project,Susan Godlonton,"PI: Jonathan Robinson , Shilpa Aggarwal , Alan Spearot",3/26/2019,1,1,Rwanda,0,Allocation,3/27/2020
UCSC-20-10002: Kumwe Harvest BASIS MRR (Rwanda),"University of California, Santa Cruz",Grant Award,Farmer Coop Value Chain Strengthening Project,Susan Godlonton,"PI: Jonathan Robinson , Shilpa Aggarwal , Alan Spearot",11/17/2019,1,1,Rwanda,0,Allocation,8/12/2020
The value of linking farmers to maize value chains in Rwanda,"University of California, Santa Cruz",Grant Proposal,Farmer Coop Value Chain Strengthening Project,Susan Godlonton,"PI: Jonathan Robinson , Shilpa Aggarwal , Alan Spearot",7/3/2023,0,1,Rwanda,0,Allocation,7/7/2023
UCH-25-10027: weiss fund_ The value of value chain: An experiment linking farmers to maize processors in Rwanda,University of Chicago,Grant Award,Farmer Coop Value Chain Strengthening Project,Susan Godlonton,"PI: Jonathan Robinson , Shilpa Aggarwal , Alan Spearot",4/14/2025,1,1,Rwanda,0,Allocation,9/18/2025
